LU_ID,Land-Use,,Years Applicable,Frequency,SoilType,Revenue/acre/year,Units,Calculations,Notes,Date updated,
1,Conventional Corn,Regular Commodity Corn,,Annual,,4.35, $/bu ,$4.35/bu,"Accessed on March 20, 2018",Updated on 02/18/2026,Updated on 02/18/2026
2,Conservation Corn,Regular Commodity Corn,,Annual,,4.35, $/bu ,$4.35/bu,"Accessed on March 20, 2018",Updated on 02/18/2027,Updated on 02/18/2027
3,Conventional Soybean,Regular Commodity Soybean,,Annual,,10.37, $/bu ,$10.37/bu,"Accessed on March 20, 2019",Updated on 02/18/2028,Updated on 02/18/2028
4,Conservation Soybean,Regular Commodity Soybean,,Annual,,10.37, $/bu ,$10.37/bu,"Accessed on March 20, 2020",Updated on 02/18/2029,Updated on 02/18/2029
5,Alfalfa,,1,,all,253, $/ton ,,,,
6,Permanent Pasture,Heifer Calves,,Annual,,2800, $/animal ,$1.75/lbs * 500lbs/head * .26 head/pair    / 2.5 acre/head,,,https://www.extension.iastate.edu/AGDM/livestock/pdf/b1-21.pdf
7,Rotational Grazing,Cull Cows,,Annual,,2800, $/animal ,$0.38/lbs * 500lbs/head * .18 head/pair    / 2.5 acre/head * 55/35 (ratio for rotation:permanent grazing systems),"Same as Permanent Pasture, except adjusted for pasture utilization ratio (55/35)",,
8,Grass Hay,,,,,180,$/ton,"FILLER/FAKE, REDO",,Updated on 02/18/2029,http://markets.businessinsider.com/commodities/corn-price
9,Prairie,none,,Annual,,0,$/acre,,"Assuming none. Government programs exist, but we are ignoring them for now.",,http://markets.businessinsider.com/commodities/corn-price
10,Conservation Forest,Wood,1,Annual,A,0.79,$/boardfoot,PER boardfoot; for soil type A,,Updated on 02/18/2029,http://www.macrotrends.net/2531/soybean-prices-historical-chart-data
10,Conservation Forest,Wood,1,Annual,D,0.79,$/boardfoot,PER boardfoot; for soil type D,,Updated on 02/18/2029,http://www.macrotrends.net/2531/soybean-prices-historical-chart-data
10,Conservation Forest,Wood,1,Annual,G,0.79,$/boardfoot,PER boardfoot; for soil type G,,Updated on 02/18/2029,
10,Conservation Forest,Wood,1,Annual,M,0.79,$/boardfoot,PER boardfoot; for soil type M,,Updated on 02/18/2029,
10,Conservation Forest,Wood,1,Annual,Q,0.79,$/boardfoot,PER boardfoot; for soil type Q,,Updated on 02/18/2029,
10,Conservation Forest,Wood,1,Annual,Y,0.79,$/boardfoot,PER boardfoot; for soil type Y,,Updated on 02/18/2029,"Multiple source, refer to Forest_Comp_Research Excel file"
10,Conservation Forest,Wood,1,Annual,C,0.79,$/boardfoot,PER boardfoot; for soil type C,,Updated on 02/18/2029,"Multiple source, refer to Forest_Comp_Research Excel file"
10,Conservation Forest,Wood,1,Annual,L,0.79,$/boardfoot,PER boardfoot; for soil type L,,Updated on 02/18/2029,"Multiple source, refer to Forest_Comp_Research Excel file"
10,Conservation Forest,Wood,1,Annual,O,0.79,$/boardfoot,PER boardfoot; for soil type O,,Updated on 02/18/2029,"Multiple source, refer to Forest_Comp_Research Excel file"
10,Conservation Forest,Wood,1,Annual,N,0.79,$/boardfoot,PER boardfoot; for soil type N,,Updated on 02/18/2029,"Multiple source, refer to Forest_Comp_Research Excel file"
10,Conservation Forest,Wood,1,Annual,K,0.79,$/boardfoot,PER boardfoot; for soil type K,,Updated on 02/18/2029,"Multiple source, refer to Forest_Comp_Research Excel file"
10,Conservation Forest,Wood,1,Annual,T,0.79,$/boardfoot,PER boardfoot; for soil type T,,Updated on 02/18/2029,"Multiple source, refer to Forest_Comp_Research Excel file"
10,Conservation Forest,Wood,1,Annual,B,0.79,$/boardfoot,PER boardfoot; for soil type B,,Updated on 02/18/2029,"Multiple source, refer to Forest_Comp_Research Excel file"
11,Conventional Forest,Wood,1,Annual,A,0.79,$/boardfoot,PER boardfoot; for soil type A,,Updated on 02/18/2029,"Multiple source, refer to Forest_Comp_Research Excel file"
11,Conventional Forest,Wood,1,Annual,D,0.79,$/boardfoot,PER boardfoot; for soil type D,,Updated on 02/18/2029,"Multiple source, refer to Forest_Comp_Research Excel file"
11,Conventional Forest,Wood,1,Annual,G,0.79,$/boardfoot,PER boardfoot; for soil type G,,Updated on 02/18/2029,"Multiple source, refer to Forest_Comp_Research Excel file"
11,Conventional Forest,Wood,1,Annual,M,0.79,$/boardfoot,PER boardfoot; for soil type M,,Updated on 02/18/2029,"Multiple source, refer to Forest_Comp_Research Excel file"
11,Conventional Forest,Wood,1,Annual,Q,0.79,$/boardfoot,PER boardfoot; for soil type Q,,Updated on 02/18/2029,"Multiple source, refer to Forest_Comp_Research Excel file"
11,Conventional Forest,Wood,1,Annual,Y,0.79,$/boardfoot,PER boardfoot; for soil type Y,,Updated on 02/18/2029,"Multiple source, refer to Forest_Comp_Research Excel file"
11,Conventional Forest,Wood,1,Annual,C,0.79,$/boardfoot,PER boardfoot; for soil type C,,Updated on 02/18/2029,"Multiple source, refer to Forest_Comp_Research Excel file"
11,Conventional Forest,Wood,1,Annual,L,0.79,$/boardfoot,PER boardfoot; for soil type L,,Updated on 02/18/2029,"Multiple source, refer to Forest_Comp_Research Excel file"
11,Conventional Forest,Wood,1,Annual,O,0.79,$/boardfoot,PER boardfoot; for soil type O,,Updated on 02/18/2029,"Multiple source, refer to Forest_Comp_Research Excel file"
11,Conventional Forest,Wood,1,Annual,N,0.79,$/boardfoot,PER boardfoot; for soil type N,,Updated on 02/18/2029,"Multiple source, refer to Forest_Comp_Research Excel file"
11,Conventional Forest,Wood,1,Annual,K,0.79,$/boardfoot,PER boardfoot; for soil type K,,Updated on 02/18/2029,"Multiple source, refer to Forest_Comp_Research Excel file"
11,Conventional Forest,Wood,1,Annual,T,0.79,$/boardfoot,PER boardfoot; for soil type T,,Updated on 02/18/2029,"Multiple source, refer to Forest_Comp_Research Excel file"
11,Conventional Forest,Wood,1,Annual,B,0.79,$/boardfoot,PER boardfoot; for soil type B,,Updated on 02/18/2029,"Multiple source, refer to Forest_Comp_Research Excel file"
12,Switchgrass,,,,,60,$/ton,,updated on 12/18/2025 by richard magala,,"Multiple source, refer to Forest_Comp_Research Excel file"
13,Short-rotation Woody Bioenergy,Triticale Biomass,,Average Annual,,752.43,$/acre,1.66 dry US ton/acre @ $72.60/dry US ton,Tie this to an adjustable variable. Use $72.60/dry US ton as default,,"Multiple source, refer to Forest_Comp_Research Excel file"
14,Wetland,none,,Annual,,0,$/acre,,"Assuming none. Government programs exist, but we are ignoring them for now.",,"Multiple source, refer to Forest_Comp_Research Excel file"
15,Mixed Fruits & Vegetables,Green Beans,1,,all,25200,$/acre,"Green beans - 120 lbs/bed * 70 beds/acre = 8400 lbs/acre @ $3/lb
Strawberries - yields y1 = 4000, y2 = 3000, y3 = 2000 qts/acre
                             avg yield = 3000 qts/acre * $2.50/qt
                             1 qt = 2.0 lbs strawberries; $1.25/lb, avg 6000 lbs/acre
Winter Squash - 450 boxes/acre @ $12/box; 1 box = 50 lbs
                                 22,500 lbs/acre @ $0.24/lb
Grapes - NEEDED!!!",,,"Multiple source, refer to Forest_Comp_Research Excel file"
15,Mixed Fruits & Vegetables,Strawberry,,Average Annual,,7300,$/acre,4000 qts/acre * $2.25/qt,Why does $/qt change year to year?,,"Multiple source, refer to Forest_Comp_Research Excel file"
15,Mixed Fruits & Vegetables,Winter Squash,,Annual,,5400,$/acre,450 boxes/acre * $12/box,"50 lbs/box
double check with Iowa expert",,
15,Mixed Fruits & Vegetables,Grapes,,,,12000,$/acre,"FILLER/FAKE, REDO",,,
